City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,atafu village,-8.5421,-172.5159,28.39,68,93,7.96,TK,1736468784
83,carutapera,-1.195,-46.02,24.43,95,77,2.22,BR,1736468785
84,suncheon,34.9481,127.4895,-5.67,63,4,2.68,KR,1736468786
85,cartagena,10.3997,-75.5144,26.79,78,0,4.63,CO,1736468530
86,lucas,41.6501,-83.6666,-6.92,77,0,1.54,US,1736468789
87,desnogorsk,54.1508,33.2815,1.29,97,100,4.2,RU,1736468790
88,kodiak,57.79,-152.4072,4.73,75,0,2.06,US,1736468791
89,enewetak,11.3474,162.3373,27.45,82,2,9.77,MH,1736468792
90,arraial do cabo,-22.9661,-42.0278,23.95,80,78,4.78,BR,1736468778
91,al qusayr,34.5091,36.5798,7.9,58,68,0.75,SY,1736468794
92,saldanha,-33.0117,17.9442,19.03,91,50,3.08,ZA,1736468795
93,bethel,41.3712,-73.414,-1.95,64,0,4.63,US,1736468796
94,shibirghan,36.6676,65.7529,1.87,61,0,2.12,AF,1736468798
95,qaqortoq,60.7167,-46.0333,-10.11,70,18,3.59,GL,1736468799
96,mon,26.75,95.1,9.74,76,27,1.67,IN,1736468800
97,weno,7.4515,151.8468,29.97,79,40,4.63,FM,1736468801
98,tiksi,71.6872,128.8694,-26.44,99,94,4.56,RU,1736468802
99,arroyito,-31.4202,-63.05,25.06,41,72,5.17,AR,1736468803
100,hawaiian paradise park,19.5933,-154.9731,26.73,79,20,3.09,US,1736468805
101,vilyuysk,63.7553,121.6247,-27.09,100,100,1.13,RU,1736468806
102,esmeraldas,-19.7625,-44.3139,19.67,89,55,0.17,BR,1736468656
103,batu pahat,1.8548,102.9325,24.0,84,98,3.32,MY,1736468621
104,kidal,18.4411,1.4078,17.12,16,100,5.11,ML,1736468809
105,bibiani,6.4635,-2.3194,21.13,56,59,0.42,GH,1736468810
106,capitan bado,-23.2667,-55.5333,27.19,27,0,2.08,PY,1736468812
107,usakos,-22.0,15.6,21.1,33,65,0.53,NA,1736468813
108,tazacorte,28.629,-17.9293,16.75,45,0,4.92,ES,1736468814
109,rawlins,41.7911,-107.2387,-12.06,79,0,2.06,US,1736468815
110,ar rutbah,33.0381,40.2848,7.68,50,81,2.69,IQ,1736468816
111,howard springs,-12.497,131.047,30.55,89,93,0.75,AU,1736468817
112,ulaangom,49.9811,92.0667,-25.19,93,99,1.22,MN,1736468819
113,nova sintra,14.8667,-24.7167,23.67,74,0,7.04,CV,1736468820
114,neya,58.2972,43.8681,-3.64,93,100,3.7,RU,1736468821
115,soe,-9.8607,124.284,23.81,74,90,0.76,ID,1736468822
116,commercy,48.75,5.5,0.78,84,95,3.93,FR,1736468823
117,yuanping,38.7153,112.7575,-7.82,30,80,1.55,CN,1736468824
118,anadyr,64.75,177.4833,-29.72,67,0,8.0,RU,1736468826
119,santa ana de yacuma,-13.75,-65.4333,23.5,92,100,2.18,BO,1736468828
120,thurso,58.5927,-3.5259,2.14,66,92,6.38,GB,1736468829
121,monrovia,6.3005,-10.7969,27.12,83,99,2.41,LR,1736468578
122,nakamura,32.9833,132.9333,-0.05,59,39,2.33,JP,1736468831
123,fada,7.25,4.0667,22.36,81,44,1.16,NG,1736468832
124,ilhabela,-23.7781,-45.3581,22.96,85,89,2.48,BR,1736468834
125,bam,29.106,58.357,8.99,35,61,2.93,IR,1736468835
126,belyy yar,53.6039,91.3903,-10.06,100,0,3.0,RU,1736468836
127,sumenep,-7.0167,113.8667,25.9,85,100,3.22,ID,1736468837
128,santa cruz,-17.8,-63.1667,25.7,83,40,1.03,BO,1736468582
129,east london,-33.0153,27.9116,22.6,84,2,6.9,ZA,1736468839
130,sept-iles,50.2001,-66.3821,3.36,63,75,6.69,CA,1736468733
131,wailua homesteads,22.0669,-159.378,24.44,87,75,7.2,US,1736468842
132,vermillion,42.7794,-96.9292,-0.35,86,100,6.18,US,1736468843
133,broome,42.2506,-75.833,-5.75,79,100,7.2,US,1736468844
134,constantia,44.1833,28.65,6.5,94,27,5.79,RO,1736468845
135,zaozersk,69.4005,32.4476,-8.15,89,99,4.21,RU,1736468846
136,ylitornio,66.3089,23.6773,-16.51,99,100,0.76,FI,1736468847
137,antsiranana,-12.2787,49.2917,25.39,82,98,5.72,MG,1736468849
138,margaret river,-33.95,115.0667,19.53,61,99,4.51,AU,1736468850
139,golfito,8.639,-83.166,22.28,93,97,0.68,CR,1736468851
140,chulakkurgan,43.765,69.1814,-6.64,85,2,1.97,KZ,1736468852
141,cabo san lucas,22.8909,-109.9124,20.98,53,40,2.06,MX,1736468853
142,coquimbo,-29.9533,-71.3436,17.85,80,100,3.6,CL,1736468673
143,port-vila,-17.7338,168.3219,28.78,65,75,4.63,VU,1736468855
144,macau,22.2006,113.5461,12.85,54,0,10.8,MO,1736468857
145,magadan,59.5667,150.8,-18.42,82,26,2.86,RU,1736468858
146,port alfred,-33.5906,26.891,20.1,93,1,1.79,ZA,1736468625
147,nyurba,63.2842,118.3319,-21.05,97,100,2.71,RU,1736468860
148,pirallahi,40.4723,50.333,4.08,89,0,4.06,AZ,1736468861
149,dinghaicun,26.2847,119.7936,9.36,57,85,9.0,CN,1736468864
150,singkil,-7.9855,111.4161,25.04,87,100,0.4,ID,1736468865
151,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,56,0,3.0,RU,1736468866
152,guerrero negro,27.9769,-114.0611,16.87,51,0,7.39,MX,1736468867
153,talnakh,69.4865,88.3972,-27.34,97,34,1.92,RU,1736468868
154,hermanus,-34.4187,19.2345,18.22,85,78,4.19,ZA,1736468869
155,wuwei,37.9281,102.6414,-6.28,62,100,1.05,CN,1736468870
156,sitka,57.0531,-135.33,8.94,81,100,11.83,US,1736468872
157,kapa'a,22.0752,-159.319,25.18,86,75,7.2,US,1736468873
158,burang,30.25,81.1667,-18.8,48,1,1.96,CN,1736468874
159,el dorado,38.7666,-120.5177,14.55,39,0,3.31,US,1736468875
160,lazaro cardenas,17.9583,-102.2,27.07,65,51,3.65,MX,1736468876
161,ufa,54.775,56.0375,0.65,99,100,3.51,RU,1736468879
162,ust-nera,64.5667,143.2,-32.85,99,96,1.17,RU,1736468880
163,caernarfon,53.1413,-4.2702,0.89,93,40,1.03,GB,1736468764
164,mariinsk,56.2139,87.7472,-18.5,99,74,2.05,RU,1736468882
165,altai,46.3722,96.2583,-19.28,95,69,2.19,MN,1736468883
166,bamboo flat,11.7,92.7167,27.05,78,100,3.09,IN,1736468884
167,rongelap,11.1635,166.8941,27.35,76,2,10.43,MH,1736468886
168,port mathurin,-19.6833,63.4167,25.97,90,99,10.33,MU,1736468887
169,ntchisi,-13.5278,33.9149,15.94,97,100,2.04,MW,1736468888
170,booue,-0.0921,11.9385,23.36,96,69,0.97,GA,1736468889
171,walvis bay,-22.9575,14.5053,17.59,86,100,3.24,NA,1736468890
172,labrador city,52.9463,-66.9114,-3.05,77,100,18.33,CA,1736468891
173,constitucion,-35.3333,-72.4167,15.91,74,6,6.6,CL,1736468892
